Far field
"Phi"[deg]	"Horizon [m^2]"	
3.04000000E+02	1.55760804E+00	
3.05000000E+02	1.56129471E+00	
3.06000000E+02	1.56501687E+00	
3.07000000E+02	1.56877186E+00	
3.08000000E+02	1.57255700E+00	
3.09000000E+02	1.57636955E+00	
3.10000000E+02	1.58020675E+00	
3.11000000E+02	1.58406576E+00	
3.12000000E+02	1.58794364E+00	
3.13000000E+02	1.59183740E+00	
3.14000000E+02	1.59574390E+00	
3.15000000E+02	1.59965990E+00	
3.16000000E+02	1.60358204E+00	
3.17000000E+02	1.60750684E+00	
3.18000000E+02	1.61143067E+00	
3.19000000E+02	1.61534976E+00	
3.20000000E+02	1.61926022E+00	
3.21000000E+02	1.62315800E+00	
3.22000000E+02	1.62703895E+00	
3.23000000E+02	1.63089875E+00	
3.24000000E+02	1.63473300E+00	
3.25000000E+02	1.63853715E+00	
3.26000000E+02	1.64230656E+00	
3.27000000E+02	1.64603650E+00	
3.28000000E+02	1.64972216E+00	
3.29000000E+02	1.65335863E+00	
3.30000000E+02	1.65694100E+00	
3.31000000E+02	1.66046428E+00	
3.32000000E+02	1.66392348E+00	
3.33000000E+02	1.66731359E+00	
3.34000000E+02	1.67062961E+00	
3.35000000E+02	1.67386660E+00	
3.36000000E+02	1.67701963E+00	
3.37000000E+02	1.68008386E+00	
3.38000000E+02	1.68305452E+00	
3.39000000E+02	1.68592695E+00	
3.40000000E+02	1.68869660E+00	
3.41000000E+02	1.69135906E+00	
3.42000000E+02	1.69391006E+00	
3.43000000E+02	1.69634551E+00	
3.44000000E+02	1.69866148E+00	
3.45000000E+02	1.70085426E+00	
3.46000000E+02	1.70292032E+00	
3.47000000E+02	1.70485635E+00	
3.48000000E+02	1.70665929E+00	
3.49000000E+02	1.70832630E+00	
3.50000000E+02	1.70985478E+00	
3.51000000E+02	1.71124238E+00	
3.52000000E+02	1.71248703E+00	
3.53000000E+02	1.71358691E+00	
3.54000000E+02	1.71454045E+00	
3.55000000E+02	1.71534637E+00	
3.56000000E+02	1.71600365E+00	
3.57000000E+02	1.71651155E+00	
3.58000000E+02	1.71686958E+00	
3.59000000E+02	1.71707752E+00	
3.60000000E+02	1.71713543E+00	
